Depth,Cal_yr_BP,Pooid,Keeled,Conical,Pyramidal,Round and  trapezoidal,Long wavy trapezoid,Stipa-type,Long straight trapezoidal,Panicoid,Panicoid bilobates,Polylobates,Crosses,Two-side horned panicoid,Chloridoid,Short saddles,Ellipsoid saddles (Spartina-type),Aristidoid,Aristida-type bilobates,Pooid_total,Panicoid_total,Chloridoid_total,C3toC4,Panicoid_to_Chloridod
-5,0,,4,3,2,1,1,3,1,,22,0,11,1,,40,1,,5,15,33,40,17.04545455,45.20547945
0,730,,2,3,1,1,1,0,0,,9,0,7,2,,32,0,,2,8,16,32,14.28571429,33.33333333
5,920,,1,3,3,2,1,0,3,,7,0,2,1,,30,0,,3,13,9,30,25,23.07692308
10,1140,,0,1,2,0,2,1,5,,5,0,1,1,,30,2,,2,11,6,30,23.40425532,16.66666667
15,1380,,4,1,2,2,2,0,2,,3,2,1,1,,37,0,,1,13,6,37,23.21428571,13.95348837
20,1640,,2,4,3,2,5,1,3,,7,1,1,0,,34,0,,1,20,9,34,31.74603175,20.93023256
25,1930,,1,0,1,1,0,0,0,,3,0,1,0,,11,0,,0,3,4,11,16.66666667,26.66666667
30,2230,,1,3,0,3,3,0,1,,4,0,0,0,,10,0,,0,11,4,10,44,28.57142857
35,2560,,0,1,2,0,0,0,1,,3,0,1,0,,5,0,,0,4,4,5,30.76923077,44.44444444
40,2900,,0,1,0,1,0,0,0,,0,0,0,0,,1,0,,0,2,0,1,66.66666667,0
45,3250,,0,2,1,2,0,1,2,,2,0,0,0,,4,0,,0,8,2,4,57.14285714,33.33333333
50,3620,,0,0,0,0,0,0,0,,0,0,0,0,,2,0,,0,0,0,2,0,0
55,4000,,0,1,2,0,0,0,0,,1,0,0,1,,0,0,,2,3,1,0,75,100
60,4400,,0,2,0,0,0,0,0,,0,0,0,0,,2,0,,0,2,0,2,50,0
65,4800,,0,0,0,0,0,0,0,,0,0,1,0,,0,0,,0,0,1,0,0,100
70,5200,,0,1,0,0,0,0,0,,0,0,0,0,,1,0,,0,1,0,1,50,0
75,5620,,0,0,0,0,0,0,0,,1,0,0,0,,4,0,,0,0,1,4,0,20
80,6040,,0,1,0,0,0,0,0,,0,0,0,0,,3,0,,0,1,0,3,25,0
85,6460,,0,1,2,0,0,0,0,,1,0,0,0,,4,0,,0,3,1,4,37.5,20
90,6890,,0,0,0,0,0,0,0,,0,0,0,0,,2,0,,0,0,0,2,0,0
95,7320,,0,1,0,0,0,1,0,,1,0,0,0,,5,0,,0,2,1,5,25,16.66666667
100,7750,,0,0,0,0,0,0,0,,0,0,1,0,,3,0,,0,0,1,3,0,25
105,8170,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
110,8600,,0,0,1,0,0,0,0,,1,0,0,0,,4,0,,0,1,1,4,16.66666667,20
115,9030,,0,0,1,0,0,0,0,,0,0,0,0,,5,0,,0,1,0,5,16.66666667,0
120,9450,,0,0,0,0,0,0,0,,0,0,0,0,,2,0,,0,0,0,2,0,0
125,9860,,0,1,0,0,0,0,0,,1,0,1,0,,1,0,,0,1,2,1,25,66.66666667
130,10280,,0,0,0,0,0,0,0,,0,0,0,0,,1,0,,0,0,0,1,0,0
135,10690,,1,1,0,0,1,1,0,,3,0,0,1,,7,0,,0,4,3,7,28.57142857,30
140,11090,,0,0,0,0,0,0,0,,0,0,0,0,,1,0,,0,0,0,1,0,0
145,11480,,0,2,0,0,0,1,0,,0,0,0,0,,0,0,,0,3,0,0,100,#DIV/0!
150,11870,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
155,12250,,1,1,1,0,1,0,0,,1,0,0,0,,1,0,,1,4,1,1,66.66666667,50
160,12620,,0,1,0,0,0,0,0,,0,0,0,0,,0,0,,0,1,0,0,100,#DIV/0!
165,12980,,0,0,1,0,0,0,0,,0,0,1,0,,0,0,,0,1,1,0,50,100
170,13330,,1,1,0,0,0,0,0,,1,0,0,0,,1,0,,0,2,1,1,50,50
175,13670,,0,1,0,0,0,0,0,,0,0,0,0,,1,0,,1,1,0,1,50,0
180,14000,,0,1,0,1,1,0,0,,0,0,0,0,,0,0,,0,3,0,0,100,0
185,14330,,0,0,1,1,0,0,0,,0,0,1,0,,0,0,,0,2,1,0,66.66666667,100
190,14640,,1,2,1,1,0,0,0,,1,0,0,0,,2,0,,0,5,1,2,62.5,33.33333333
195,14940,,0,1,1,0,0,1,0,,1,0,0,0,,2,0,,0,3,1,2,50,33.33333333
205,15510,,0,1,0,0,2,1,0,,3,0,1,0,,3,0,,0,4,4,3,36.36363636,57.14285714
215,16040,,0,3,0,0,1,2,0,,0,0,0,0,,3,0,,2,6,0,3,66.66666667,0
230,16740,,0,1,1,3,1,1,0,,1,0,0,0,,0,0,,0,7,1,0,87.5,100
235,16960,,0,3,1,2,3,6,1,,3,0,3,0,,4,1,,0,16,6,4,61.53846154,60
240,17160,,2,3,0,2,2,13,2,,5,0,2,3,,6,0,,0,24,7,6,64.86486486,53.84615385
245,17360,,6,4,5,0,5,7,1,,4,0,0,0,,9,0,,0,28,4,9,68.29268293,30.76923077
250,17550,,8,2,2,1,9,0,9,,0,3,0,15,,0,0,,0,31,3,0,91.17647059,100