Depth,Cal_yr_BP,Pinus,Picea,Cuppressaceae,Salix,Populus,Juglans,Carya,Alnus,Ostrya-Carpinus,Quercus,Ulmus,Celtis,Moraceae,Vitis,Tilia,Pyrus type,Liquidambar,Mimosa-Acacia,Rhus,Acer,Rhamnaceae,Cornus,Ericaceae,Fraxinus,Ephedra ,Urtica type,Chenopodiaceae,Caryophyllaceae,Opuntia,Eriogonum type,Polygonum amphibius type,Ranunculaceae,Saxifragaceae/Ribes,Berberidaceae,Papaveraceae,Cruciferae,Rosaceae,Trifolium type,Medicago,Other Fabs,Oxalis,Geraniaceae,Linum type,Euphorbiaceae,Malvaceae,Umbelliferae,Onagraceae,Solanaceae,Convolvulaceae,Boraginaceae,Salvia type,Rubiaceae,Artemisia,Serratula type,Ambrosia-type,Aster type,Cirsium type,Asteraceae liguliflorae,Other herbs,Poaceae,Liliaceae,Cyperaceae,Typhaceae,Juncaceae,Bryophytes,Polypodaceae,Other spores,Cladosporium,Mycorrhizae,Pseudoschizera,Non identified fungal spores,Sporormiella
0,1.6,16,0,9,0,0,3,0,0,0,43,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,3,0,2,0,6,0,0,0,0,0,0,0,3,0,0,2,0,0,0,16,3,2,2,13,9,0,3,0,0,28,,152,,7,10,144,35
5,367.5,13,0,5,0,2,0,0,0,0,26,0,4,1,0,0,2,0,0,0,0,0,0,0,1,0,0,6,0,3,3,0,0,0,0,0,1,0,3,0,5,0,0,0,0,0,1,0,0,0,0,3,0,2,0,10,4,1,0,15,8,0,0,0,0,6,,183,234,240,3,439,10
20,1644.6,5,0,1,0,0,0,0,0,0,36,0,6,2,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,1,0,0,3,0,0,3,0,0,10,0,2,0,0,1,0,0,3,0,3,0,1,2,0,0,0,15,26,1,2,41,9,0,0,0,0,15,1,162,213,180,4,6,4
25,2109.5,22,0,4,3,1,0,1,0,0,31,2,2,1,0,0,2,0,0,0,0,0,0,0,2,3,0,3,0,2,4,0,1,0,0,3,2,0,6,0,4,0,0,0,0,0,12,5,3,1,0,2,0,5,0,5,18,2,5,27,12,2,1,0,0,9,1,140,253,76,11,15,
30,2478.8,37,0,3,0,0,0,2,0,0,11,0,5,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,1,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,8,3,1,0,0,0,0,4,0,6,14,4,0,8,0,0,0,0,0,12,,155,140,181,10,26,2
35,2682.5,23,0,2,1,1,0,0,1,0,33,0,4,3,0,0,1,0,0,0,0,0,0,0,1,1,0,3,1,0,4,0,1,0,0,0,1,0,3,0,7,0,0,0,0,0,1,2,0,4,0,0,0,4,0,16,48,12,4,37,7,0,0,0,0,9,2,200,76,45,23,69,1
40,2912.4,11,0,0,1,2,0,0,0,0,15,0,3,2,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,4,0,0,0,0,1,0,2,0,6,45,5,4,1,7,0,1,0,0,7,1,49,17,11,,7,1
45,3126.3,29,0,0,0,1,0,0,0,0,38,0,0,2,0,0,1,0,0,1,1,0,0,0,1,1,0,3,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,7,0,0,0,0,0,0,2,0,7,38,4,10,13,7,2,1,0,0,5,4,98,17,15,2,17,2
50,3364,19,0,2,0,2,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,5,0,4,2,0,10,1,4,3,0,0,0,0,0,0,0,1,1,5,0,0,0,1,0,1,0,1,2,0,0,0,5,0,5,32,3,5,27,4,0,0,0,0,10,1,142,45,22,8,16,2
55,3791.4,102,0,0,0,1,2,2,0,0,21,0,3,3,0,0,5,0,0,0,0,0,0,0,0,11,0,23,0,0,22,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,2,0,4,0,0,0,0,15,0,51,16,5,4,32,20,0,4,0,0,38,5,57,,,,4,
60,4202.1,24,0,2,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,5,0,2,0,0,0,0,0,4,0,10,0,0,0,1,0,8,7,1,0,0,0,0,4,0,5,12,3,12,22,5,0,0,0,0,9,,135,148,54,6,11,
65,4745.4,20,0,0,0,0,0,0,0,0,12,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,4,0,0,0,0,0,1,0,12,0,2,0,0,0,1,0,6,4,2,0,0,0,0,4,0,9,10,1,28,0,0,0,0,1,0,13,,107,97,31,4,10,6
70,5327.7,28,0,0,0,0,1,0,0,0,11,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,17,33,6,7,29,3,0,0,0,0,4,1,230,3,3,7,2,
75,5808,6,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,1,0,2,0,1,0,2,4,2,0,0,0,0,1,0,11,36,1,8,22,4,1,0,0,0,4,,34,2,12,2,4,1
80,6011.5,8,0,1,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,10,0,11,2,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,10,6,2,0,0,1,0,1,0,11,31,0,11,28,3,0,0,0,0,2,,154,4,7,,1,2
85,6127.4,22,0,0,0,1,0,1,0,0,16,0,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,7,0,1,0,0,1,0,0,0,0,8,0,0,0,0,1,8,9,3,0,0,0,1,4,0,11,12,2,20,30,11,1,1,0,0,17,,261,38,,5,4,
90,6245.7,13,0,1,0,2,0,1,0,0,18,0,0,19,0,0,0,0,1,0,0,0,0,0,0,1,0,3,4,8,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,13,12,6,0,0,0,0,2,0,15,34,2,30,27,4,2,4,0,0,13,,155,8,49,3,2,1
95,6436.4,16,0,0,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,13,1,0,1,0,0,0,1,0,6,0,5,0,0,0,0,2,18,9,8,0,0,1,0,8,16,0,64,4,30,66,8,0,3,0,0,9,2,136,220,154,,2,
100,7197.7,27,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,13,6,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,21,13,1,0,0,0,0,4,0,7,59,7,29,31,4,1,0,0,0,2,,74,,,,,
105,8052.6,14,0,0,2,1,0,1,0,0,27,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,5,0,1,0,1,0,0,0,3,0,2,0,0,0,0,1,26,15,2,0,0,1,0,8,0,9,44,4,30,54,6,0,0,0,0,5,1,114,1,1,,1,
110,8786.5,12,0,0,1,0,1,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,6,2,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,36,0,0,0,1,0,0,2,0,10,38,2,0,0,2,0,1,0,0,2,,98,3,168,,1,
115,9119.9,12,0,0,0,3,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,14,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,18,9,0,0,0,1,0,5,0,10,47,2,22,13,6,0,0,0,0,6,4,111,1,,1,,1
120,9446,11,0,1,2,0,0,0,0,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,9,0,0,5,0,0,0,0,0,3,0,1,0,0,0,0,0,7,7,1,0,0,0,0,2,0,8,32,3,37,17,4,0,1,0,0,6,,47,,,,6,
125,9855.6,9,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,4,2,4,0,0,0,0,2,,,,,,28,
130,10312.5,22,0,0,0,0,0,0,0,0,32,0,2,0,4,0,1,0,0,0,0,0,0,0,2,1,0,4,1,1,0,0,2,0,0,0,0,0,4,0,7,0,0,0,0,0,7,6,6,0,0,2,0,9,0,40,8,7,41,19,9,0,2,0,0,4,1,113,,2,,2,
135,10880.1,42,0,1,1,0,1,0,0,0,19,1,3,0,0,1,0,0,0,0,0,0,0,0,1,4,0,5,0,0,0,0,6,0,0,3,0,0,3,0,9,0,0,0,0,0,2,2,0,0,0,0,0,22,0,27,42,4,6,68,9,0,1,1,0,6,2,129,1,3,1,3,
140,11409.1,41,0,1,2,3,0,0,0,0,24,0,4,0,0,0,2,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,6,0,0,0,0,0,9,0,1,0,1,0,0,5,0,11,33,2,5,36,13,0,0,0,0,4,9,90,,27,13,46,4
145,11873.7,5,0,2,1,0,0,0,0,0,30,0,5,2,0,0,0,0,0,0,0,0,0,0,2,2,0,3,2,0,0,0,0,0,0,0,0,0,2,0,21,0,0,0,1,0,0,0,0,0,0,2,0,17,0,4,27,1,16,54,15,0,1,0,0,8,5,130,3,,3,58,3
150,12402.6,16,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,4,0,5,0,0,0,0,0,1,0,5,0,0,0,2,0,1,9,3,0,0,0,0,6,0,7,35,5,43,30,4,2,1,0,0,3,4,82,,,,1,
155,12901.3,43,0,0,1,0,7,2,0,0,19,0,0,0,0,0,2,0,0,0,1,1,0,0,2,5,0,8,0,0,5,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,2,2,0,0,1,0,6,0,19,33,9,11,4,5,2,8,0,0,12,14,61,,,,4,
160,13155.7,37,0,3,7,2,9,1,1,0,17,1,0,2,0,0,0,1,0,1,0,0,0,0,3,2,0,12,0,0,3,0,3,2,0,0,0,0,1,0,4,0,0,0,0,0,1,0,2,0,1,2,0,5,0,41,29,3,8,22,4,0,8,0,5,8,10,40,,2,3,,
165,13254.8,68,1,0,0,0,15,0,0,0,9,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,2,5,0,0,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,4,0,1,1,0,2,0,16,35,5,26,10,8,0,4,0,0,17,6,9,,,2,,
170,13348.2,47,0,1,0,2,5,0,0,0,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,7,0,7,7,5,0,3,0,0,5,5,53,,,1,,
175,13424,102,1,0,1,2,4,3,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,7,2,0,1,0,1,0,0,0,1,0,0,0,4,0,0,3,0,0,1,0,0,0,0,0,0,11,0,22,21,0,8,20,7,0,1,0,0,7,3,75,4,8,,5,1
180,13502.8,28,2,0,1,0,2,1,1,2,25,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,2,0,1,0,3,0,0,0,0,0,12,0,4,1,0,0,0,0,9,0,3,2,0,2,3,0,0,13,19,4,19,47,12,2,4,0,1,6,4,177,,,,,
185,13587.1,54,9,1,0,3,1,0,1,1,15,0,0,2,0,0,1,0,0,0,3,0,0,0,0,2,0,13,0,0,0,7,1,8,0,0,0,0,1,0,0,6,0,0,0,0,3,0,1,0,0,0,1,3,0,5,10,5,1,22,15,1,6,1,0,22,8,62,,1,4,2,
190,13685.4,130,4,0,0,0,3,0,1,0,8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,9,0,0,17,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,9,0,4,2,6,11,2,21,2,0,15,14,31,,,9,,1
195,13909.8,103,3,0,0,1,3,3,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,4,0,3,7,0,2,5,13,1,11,1,0,10,10,42,,1,4,7,5
205,14453.8,18,0,1,1,0,0,0,0,0,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,5,1,5,4,7,2,8,0,0,6,15,,,1,2,2,9
215,15068.6,57,2,0,2,1,0,0,0,0,11,1,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,7,8,0,0,0,2,4,0,0,0,2,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,11,0,15,16,7,18,9,17,2,21,1,0,15,121,57,1,20,21,9,5
230,16316,59,1,0,7,1,1,0,1,0,7,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,6,6,0,2,0,5,0,0,0,0,0,7,0,3,0,0,0,0,0,1,0,0,0,0,0,0,22,0,10,29,11,23,31,9,0,18,0,0,14,41,28,,1,8,3,1
235,17173.9,25,0,0,3,1,1,0,2,0,9,0,3,0,0,0,0,0,0,0,3,0,0,0,1,1,0,11,6,0,1,0,2,1,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,1,1,30,0,12,32,4,9,27,0,0,8,1,0,13,132,50,,12,14,15,8
240,17717.6,15,0,1,0,0,1,0,1,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,7,0,5,10,0,11,7,8,0,8,1,0,6,6,18,,3,,4,1
245,17907.9,18,1,0,2,1,0,0,4,0,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,16,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,0,0,1,0,0,1,0,0,21,0,11,52,2,14,20,6,1,29,0,0,5,31,20,,,1,4,3
250,18093.6,13,1,2,3,1,0,0,4,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,16,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,1,2,0,17,0,26,55,4,6,45,8,5,30,1,0,11,26,19,,,2,4,4