Depth,MS,SD,YBP,Bart
-15,5.99E-07,1.74E-08,350.00,30.9
-14,6.70E-07,1.01E-08,360.00,27
-13,5.53E-07,6.70E-09,380.00,20
-12,3.65E-07,1.26E-08,400.0,11
-11,4.59E-07,1.78E-08,420.00,17.5
-10,7.01E-07,2.40E-09,440.00,36.5
-9,9.95E-07,4.32E-09,470.00,55.5
-8,1.06E-06,6.13E-09,490.00,61.5
-7,1.05E-06,3.45E-09,520.00,62
-6,1.06E-06,3.21E-09,540.00,63
-5,9.77E-07,5.71E-09,570.00,47.5
-4,7.02E-07,5.72E-09,600.0,25
-3,8.28E-07,1.64E-09,630.00,33
-2,1.06E-06,2.62E-09,660.00,46.5
-1,1.16E-06,4.62E-09,700.0,54
0,1.43E-06,6.19E-09,730.00,64.5
1,1.48E-06,6.35E-09,770.00,73.5
2,1.23E-06,4.03E-09,800.0,55
3,1.20E-06,4.20E-09,840.00,57.5
4,1.31E-06,6.26E-09,880.00,62.5
5,1.32E-06,5.25E-09,920.00,62.5
6,1.39E-06,7.66E-09,960.00,73.5
7,1.40E-06,4.77E-09,1000,77
8,1.34E-06,2.09E-09,1050.00,73.5
9,1.35E-06,3.59E-09,1090.00,68
10,1.31E-06,1.52E-09,1140.00,68
11,1.28E-06,9.99E-10,1180.00,66
12,1.32E-06,3.88E-09,1230.00,64.5
13,1.43E-06,2.81E-09,1280.00,73.5
14,1.44E-06,1.01E-09,1330.00,75.5
15,1.34E-06,2.77E-09,1380.00,73
16,1.56E-06,1.97E-09,1430.00,75
17,1.47E-06,1.75E-09,1480.00,81
18,1.45E-06,2.09E-09,1530.00,81.5
19,1.43E-06,2.12E-09,1590.00,86
20,1.48E-06,2.87E-09,1640.00,84
21,1.57E-06,2.04E-09,1700.0,93
22,1.57E-06,3.61E-09,1750.00,84.5
23,1.53E-06,1.51E-09,1810.00,88
24,1.60E-06,9.90E-10,1870.00,96
25,1.65E-06,9.15E-10,1930.00,96.5
26,1.65E-06,1.73E-09,1990.00,98.5
27,1.74E-06,2.30E-09,2050.00,101.5
28,1.71E-06,2.30E-09,2110.00,101
29,1.69E-06,1.34E-09,2170.00,100.5
30,1.66E-06,4.25E-09,2230.00,97.5
31,1.58E-06,3.43E-09,2300.0,95.5
32,1.63E-06,1.13E-09,2360.00,93
33,1.53E-06,6.00E-10,2430.00,95
34,1.44E-06,3.38E-09,2490.00,93
35,1.42E-06,3.14E-09,2560.00,87.5
36,1.49E-06,5.35E-10,2630.00,93.5
37,1.53E-06,1.55E-09,2690.00,95
38,1.57E-06,2.05E-09,2760.00,97
39,1.51E-06,3.44E-09,2830.00,88
40,1.46E-06,9.54E-10,2900.0,86
41,1.38E-06,1.17E-09,2970.00,84.5
42,1.34E-06,1.89E-09,3040.00,76.5
43,1.37E-06,1.41E-09,3110.00,81.5
44,1.42E-06,1.77E-09,3180.00,86
45,1.43E-06,4.72E-10,3250.00,80
46,1.40E-06,2.10E-09,3330.00,76
47,1.39E-06,1.66E-09,3400.0,77.5
48,1.33E-06,2.23E-09,3470.00,80
49,1.30E-06,2.04E-09,3550.00,77.5
50,1.30E-06,1.96E-09,3620.00,77.5
51,1.33E-06,2.10E-09,3700.0,76
52,1.31E-06,2.95E-09,3770.00,78
53,1.35E-06,2.17E-09,3850.00,82.5
54,1.33E-06,1.97E-09,3930.00,78
55,1.23E-06,1.55E-09,4000,71.5
56,1.33E-06,3.43E-09,4080.00,79.5
57,1.37E-06,2.87E-09,4160.00,82.5
58,1.42E-06,1.76E-09,4240.00,86.5
59,1.40E-06,2.08E-09,4320.00,92
60,1.37E-06,2.62E-09,4400.0,90
61,1.36E-06,2.67E-09,4480.00,85
62,1.41E-06,2.92E-09,4550.00,81.5
63,1.31E-06,1.11E-09,4630.00,80
64,1.19E-06,1.54E-09,4720.00,73
65,1.15E-06,2.34E-09,4800.0,69
66,1.19E-06,2.42E-09,4880.00,74
67,1.26E-06,1.96E-09,4960.00,76
68,1.23E-06,2.23E-09,5040.00,75.5
69,1.22E-06,2.25E-09,5120.00,72.5
70,1.17E-06,1.42E-09,5200.0,75
71,1.13E-06,1.20E-09,5290.00,65.5
72,1.13E-06,1.47E-09,5370.00,70
73,1.23E-06,1.52E-09,5450.00,73
74,1.13E-06,1.46E-09,5540.00,70.5
75,1.15E-06,1.24E-09,5620.00,64
76,1.25E-06,2.16E-09,5700.0,68.5
77,1.30E-06,3.01E-09,5790.00,70
78,1.23E-06,1.34E-09,5870.00,67.5
79,1.20E-06,2.57E-09,5950.00,67
80,1.20E-06,4.57E-10,6040.00,67
81,1.25E-06,2.14E-09,6120.00,67.5
82,1.24E-06,2.60E-09,6210.00,67
83,1.22E-06,2.41E-09,6290.00,73
84,1.21E-06,4.29E-10,6380.00,70
85,1.13E-06,1.19E-09,6460.00,62
86,1.16E-06,1.84E-09,6550.00,67
87,1.15E-06,1.56E-09,6630.00,69
88,1.14E-06,2.38E-09,6720.00,66.5
89,1.18E-06,1.30E-09,6800.0,65
90,1.17E-06,1.52E-09,6890.00,62
91,1.12E-06,3.14E-09,6970.00,64.5
92,1.14E-06,1.93E-09,7060.00,70.5
93,1.13E-06,2.73E-09,7150.00,67
94,1.09E-06,2.53E-09,7230.00,64.5
95,1.10E-06,0.00E+00,7320.00,63
96,1.09E-06,5.27E-10,7400.0,59.5
97,1.09E-06,2.09E-09,7490.00,61.5
98,1.04E-06,1.03E-09,7570.00,61
99,1.06E-06,1.59E-09,7660.00,62.5
100,1.01E-06,1.88E-09,7750.00,55
101,9.88E-07,2.92E-09,7830.00,51
102,9.91E-07,3.78E-09,7920.00,51.5
103,1.02E-06,1.73E-09,8000,51
104,1.23E-06,3.03E-09,8090.00,65
105,1.42E-06,2.73E-09,8170.00,81.5
106,1.19E-06,4.41E-09,8260.00,67.5
107,9.74E-07,4.16E-10,8340.00,57.5
108,9.05E-07,1.42E-09,8430.00,55.5
109,9.53E-07,4.82E-09,8520.00,56
110,8.73E-07,1.01E-09,8600.0,49.5
111,8.78E-07,4.15E-09,8690.00,56.5
112,9.00E-07,7.15E-10,8770.00,52.5
113,9.19E-07,2.28E-09,8860.00,56.5
114,9.52E-07,4.13E-09,8940.00,52.5
115,9.04E-07,3.03E-09,9030.00,60
116,8.77E-07,2.56E-09,9110.00,60.5
117,9.41E-07,1.48E-09,9190.00,53.5
118,9.62E-07,4.79E-10,9280.00,48.5
119,9.59E-07,1.09E-09,9360.00,53.5
120,9.61E-07,4.50E-09,9450.00,51.5
121,8.67E-07,2.56E-09,9530.00,46.5
122,9.19E-07,1.28E-09,9610.00,48
123,9.84E-07,1.36E-09,9700.0,51.5
124,8.36E-07,2.61E-09,9780.00,44
125,8.26E-07,4.49E-09,9860.00,49.5
126,8.40E-07,2.31E-09,9950.00,48.5
127,8.61E-07,2.23E-09,10030.00,53
128,9.33E-07,1.48E-09,10110.00,50.5
129,9.26E-07,9.00E-10,10200.0,49.5
130,9.05E-07,1.15E-09,10280.00,51
131,9.02E-07,4.52E-09,10360.00,54.5
132,9.12E-07,5.45E-09,10440.00,52
133,7.94E-07,2.75E-09,10520.00,46.5
134,8.84E-07,2.56E-09,10600.0,44.5
135,8.69E-07,2.12E-09,10690.00,48
136,8.99E-07,2.48E-09,10770.00,50.5
137,9.33E-07,1.20E-09,10850.00,51.5
138,9.63E-07,1.65E-09,10930.00,54
139,9.61E-07,9.03E-10,11010.00,51
140,9.08E-07,2.09E-09,11090.00,54.5
141,9.30E-07,3.11E-09,11160.00,53.5
142,9.78E-07,3.57E-09,11240.00,55.5
143,1.00E-06,6.58E-10,11320.00,61
144,9.49E-07,1.82E-09,11400.0,59
145,9.34E-07,2.84E-09,11480.00,59
146,9.95E-07,2.57E-09,11560.00,60.5
147,1.02E-06,3.68E-09,11640.00,61
148,1.05E-06,1.84E-09,11710.00,65
149,1.03E-06,1.52E-09,11790.00,65.5
150,1.05E-06,2.13E-09,11870.00,64
151,1.05E-06,7.84E-10,11940.00,65.5
152,1.06E-06,1.45E-09,12020.00,64
153,1.04E-06,2.63E-09,12100.0,65.5
154,1.07E-06,6.06E-10,12170.00,63.5
155,1.05E-06,4.53E-09,12250.00,63.5
156,1.00E-06,1.98E-09,12320.00,64
157,1.01E-06,4.46E-09,12390.00,58.5
158,1.01E-06,3.43E-09,12470.00,65.5
159,1.03E-06,3.63E-09,12540.00,63
160,1.02E-06,4.97E-10,12620.00,64
161,1.00E-06,2.08E-09,12690.00,63
162,9.89E-07,2.22E-09,12760.00,63
163,1.01E-06,6.32E-09,12830.00,64.5
164,1.04E-06,3.31E-09,12910.00,66.5
165,1.07E-06,2.70E-09,12980.00,67
166,1.08E-06,1.87E-09,13050.00,64.5
167,1.06E-06,2.15E-09,13120.00,67.5
168,1.09E-06,1.22E-09,13190.00,60.5
169,1.13E-06,2.17E-09,13260.00,70
170,1.06E-06,7.54E-09,13330.00,60.5
171,1.05E-06,2.68E-09,13400.0,64.5
172,1.06E-06,3.53E-09,13470.00,67
173,1.06E-06,1.11E-09,13540.00,65.5
174,1.10E-06,2.15E-09,13600.0,67.5
175,1.15E-06,2.56E-09,13670.00,77.5
176,1.15E-06,2.77E-09,13740.00,72
177,1.12E-06,5.60E-09,13810.00,68
178,1.06E-06,4.01E-09,13870.00,64
179,1.06E-06,5.33E-10,13940.00,62
180,1.06E-06,1.10E-09,14000,65
181,1.06E-06,3.21E-09,14070.00,63
182,1.04E-06,3.11E-09,14130.00,61
183,1.05E-06,7.80E-10,14200.0,63
184,9.44E-07,4.48E-09,14260.00,52.5
185,8.14E-07,3.57E-09,14330.00,35
186,7.73E-07,5.84E-09,14390.00,34.5
187,7.43E-07,1.51E-09,14450.00,42
188,7.51E-07,3.25E-09,14520.00,39.5
189,7.49E-07,1.81E-09,14580.00,33
190,7.39E-07,1.68E-09,14640.00,31.5
195,7.16E-07,1.62E-09,14940.00,35
199,6.80E-07,4.89E-10,15170.00,34
200,5.54E-07,1.90E-09,15230.00,25.5
201,5.04E-07,1.07E-09,15290.00,27
202,5.78E-07,3.73E-09,15340.00,31.5
203,6.09E-07,2.21E-09,15400.0,34
204,5.86E-07,2.92E-09,15450.00,33.5
205,6.47E-07,1.12E-09,15510.00,34
206,5.98E-07,2.80E-09,15560.00,36.5
207,5.97E-07,1.25E-09,15620.00,35.5
208,6.19E-07,3.89E-09,15670.00,36
209,6.34E-07,7.82E-10,15720.00,37.5
210,6.16E-07,1.62E-09,15780.00,31.5
211,5.15E-07,1.18E-09,15830.00,29
212,4.73E-07,3.45E-09,15880.00,24
213,4.85E-07,2.30E-09,15930.00,25.5
214,4.62E-07,2.29E-09,15980.00,23
215,4.90E-07,1.79E-09,16040.00,24
220,4.81E-07,4.46E-09,16280.00,23.5
222,4.85E-07,8.50E-10,16380.00,24
223,5.09E-07,3.13E-09,16420.00,27.5
224,4.66E-07,1.17E-09,16470.00,29
225,5.16E-07,2.92E-09,16520.00,30
226,5.37E-07,1.20E-09,16560.00,34
227,5.51E-07,3.92E-09,16610.00,33
228,5.36E-07,1.66E-09,16650.00,32
229,5.16E-07,2.91E-09,16700.0,29.5
230,4.94E-07,2.01E-09,16740.00,28.5
231,5.46E-07,2.03E-09,16790.00,31
235,5.17E-07,4.46E-09,16960.00,30.5
237,5.83E-07,1.56E-09,17040.00,32.5
238,6.55E-07,9.00E-10,17080.00,35
239,8.18E-07,1.57E-09,17120.00,46.5
240,9.04E-07,1.36E-09,17160.00,53.5
241,9.05E-07,3.52E-10,17200.0,55.5
242,9.31E-07,3.24E-09,17240.00,53
243,7.43E-07,7.54E-10,17280.00,43.5
244,6.20E-07,2.09E-09,17320.00,34.5
245,6.66E-07,6.98E-10,17360.00,37
246,6.74E-07,4.21E-10,17400.0,37.5
250,6.52E-07,1.97E-09,17550.00,37
260,3.92E-07,5.32E-10,17890.00,20
270,3.53E-07,3.56E-09,18200.0,19.5
285,3.99E-07,2.91E-09,18620.00,21
290,4.02E-07,1.34E-09,18750.00,20
300,3.94E-07,1.35E-09,19000,20.5