Specimen,Family,Maxilla_LDR,Dentary_LDR,Frontal_GL,Frontal_SW,Frontal_PW,Parietal_GW,Parietal_GL,Quadrate_GH,Occipital complex_WC,Articular_WR,Scapulocoracoid_HG,Femur_GL,Humerus_GL,Pelvis_HA,Ilium crest_GL,SVL,TL,Sex,species,genus
Elgaria coerulea_TMM_M-8965,Anguidae,6.41,7.09,,1.61,5.69,4.26,,3.83,1.34,2.1,0.78,9.1,7.78,1.37,4.71,74,208,,Elgaria coerulea,Elgaria
Elgaria coerulea_TMM_M-8977,Anguidae,,8.55,8.61,2.12,6.24,,,4.85,,2.43,0.92,10.71,9.26,,7.06,98,,,Elgaria coerulea,Elgaria
Elgaria coerulea_TMM_M-8994,Anguidae,6.89,8.31,,1.95,6.92,4,,4.54,1.43,2.53,0.79,9.7,8.37,1.51,6.41,91,135,female,Elgaria coerulea,Elgaria
Elgaria coerulea_TMM_M-9008,Anguidae,7.67,9.29,,2.19,7.46,4.17,,5.39,1.69,3.8,0.78,12.23,10.13,2.18,8.18,114,277,female,Elgaria coerulea,Elgaria
Elgaria kingii_TMM_M-8582,Anguidae,6.73,6.92,6.27,1.74,5.24,3.85,4.55,3.57,,1.79,,7.85,,,4.97,75,225,,Elgaria kingii,Elgaria
Elgaria kingii_TMM_M-8981,Anguidae,8.46,8.39,7.47,1.97,5.82,4.19,5.43,4.34,1.61,2.82,0.66,10,8.84,1.71,5.9,96,,,Elgaria kingii,Elgaria
Elgaria multicarinata webbi_CJB-1742,Anguidae,7.64,7.99,7.54,1.75,5.94,3.93,4.97,4.29,,1.97,,9.53,7.95,,5.35,91,264,,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata webbi_CJB-1771,Anguidae,8.9,9.61,8.36,2.09,7.44,4.61,5.81,5.03,,3.18,,12.59,10.82,,7.3,112,242,,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata webbi_CJB-1786,Anguidae,7.73,10.35,9.96,2.37,6.94,4.77,5.8,5.16,1.86,3.93,,12.65,11.07,2.28,7.84,117,,,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata webbi_CJB-1806,Anguidae,9.93,12.79,10.93,3.04,8.22,,,6.08,2.55,4.14,1.27,15.36,14.1,2.48,9.98,153,,,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata webbi_TMM_M-8974,Anguidae,7.98,9.62,,2.47,9.2,4.42,,5.91,1.83,3.8,1.2,13.03,11.42,2.21,7.14,107,280,,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata webbi_TMM_M-8975,Anguidae,11.44,13.11,,3.95,10.94,5.53,,6.46,2.23,5.5,1.23,18.17,15.42,2.77,9.78,153,350,female,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata webbi_TMM_M-8993,Anguidae,13.85,15.99,12.72,3.67,10.72,4.87,9.4,7.14,2.42,7.04,1.73,18.24,16.08,3.55,11.44,157,370,,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata webbi_TMM_M-9005,Anguidae,8.55,10.71,,2.59,8.34,4.7,,5.53,1.94,3.63,1.06,14.45,12.71,2.63,7.89,115,309,female,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata webbi_TMM_M-9007,Anguidae,11.19,13.27,,3.47,9.96,4.9,,6.35,2.36,5.05,1.36,16.26,14.93,3.51,9.84,143,377,female,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata_CJB-1788,Anguidae,8.45,8.81,8.19,2.02,5.55,3.78,5.56,4.83,,3.11,0.69,11.49,9.88,,7.16,105,300,,Elgaria multicarinata,Elgaria
Elgaria multicarinata_TMM_M-8987,Anguidae,8.67,9.24,7.96,1.93,6.94,4.2,5.38,5.13,,2.61,,11.93,,,6.79,106,,,Elgaria multicarinata,Elgaria
Elgaria multicarinata_TMM_M-8990,Anguidae,7.35,8.16,,2.23,7.34,3.73,,4.6,1.37,2.13,0.68,10.3,9,2.06,,,,,Elgaria multicarinata,Elgaria
Elgaria multicarinata scincicauda_TMM_M-12129,Anguidae,7.94,8.32,7.42,1.66,6.08,3.67,4.9,4.57,,2.23,,10.96,9.46,,6.76,93,183,,Elgaria multicarinata scincicauda,Elgaria
Gerrhonotus infernalis_TMM_M-12353,Anguidae,13.35,16.69,,4.56,,4.78,,6.57,2.15,6.7,1.26,17.43,15.62,2.48,11.3,155,309,male,Gerrhonotus infernalis,Gerrhonotus
Gerrhonotus infernalis_TMM_M-13440,Anguidae,15.22,16.34,12.56,3.25,10.17,5.8,10.37,7.25,2.32,5.7,1.95,17.99,16.08,3.14,12.32,165,400,,Gerrhonotus infernalis,Gerrhonotus
Gerrhonotus infernalis_TMM_M-13441,Anguidae,11.63,13.59,10.9,2.89,8.44,4.83,7.63,5.56,2.19,3.75,1.58,16.11,13.79,3.05,9.12,144,327,,Gerrhonotus infernalis,Gerrhonotus
Gerrhonotus infernalis_TMM_M-13442,Anguidae,12.83,14.09,,3.45,,4.61,,6.62,2.33,4.7,1.84,17.43,15.14,2.69,9.49,150,321,,Gerrhonotus infernalis,Gerrhonotus
Gerrhonotus leiocephalus_TMM_M-1723,Anguidae,14.41,16.17,,3.91,10,,,7.08,,7.34,1.3,18.55,16.21,3.33,11.91,,,,Gerrhonotus infernalis,Gerrhonotus
Gerrhonotus liocephalus_TMM_M-11412,Anguidae,16.21,18.25,,4.4,,5.66,,7.3,2.45,7.09,1.02,19.62,17.73,2.92,11.93,,,male,Gerrhonotus infernalis,Gerrhonotus
Gerrhonotus liocephalus_TMM_M-7129,Anguidae,15.26,16.05,,3.77,10.63,5.39,,7,2.43,7.56,1.58,17.45,15.67,2.71,10.31,,,,Gerrhonotus infernalis,Gerrhonotus
Gerrhonotus sp._TMM_M-11411,Anguidae,12.39,14.35,,3.12,,4.98,,6.75,2,4.67,1.14,17.14,14.85,2.63,11.41,,,,Gerrhonotus sp.,Gerrhonotus
Gerrhonotus sp._TMM_M-11414,Anguidae,13.96,17.3,16.75,4.01,8.88,5.42,10.94,7.77,2.38,5.42,1.44,18.2,,2.86,12.91,,,,Gerrhonotus sp.,Gerrhonotus
Ophisaurus attenuatus_TMM_M-8979,Anguidae,6.91,7.89,7.49,,,3.85,4.85,2.76,,1.64,,,,,,149,550,,Ophisaurus attenuatus,Ophisaurus
Ophisaurus attenuatus_TMM_M-4432,Anguidae,5.82,6.61,7.24,,,3.74,4.91,2.87,,1.43,,,,,,124,,,Ophisaurus attenuatus,Ophisaurus
Ophisaurus ventralis_TMM_M-8585,Anguidae,6.25,7.43,6.88,,,3.62,4.99,3.1,,,,,,,,160,420,,Ophisaurus ventralis,Ophisaurus
Ophisaurus ventralis_TMM_M-11716,Anguidae,7.41,8.3,8.31,,,4.83,5.19,3.58,,,,,,,,,,,Ophisaurus ventralis,Ophisaurus
Ophisaurus attenuatus_TNHC_96712,Anguidae,8.78,10.53,,3.24,5.23,4.34,6.6,4.27,,2.19,,,,,,213.64,,,Ophisaurus attenuatus,Ophisaurus
Crotaphytus bicincto_TMM_M-8612,Crotaphytidae,9.39,11.54,,1.67,8.85,5.44,,5.2,1.95,3.92,1.46,20.82,14.11,2.84,7.44,90,,,Crotaphytus bicincto,Crotaphytus
Crotaphytus bicinto_TMM_M-8947,Crotaphytidae,11.21,12.07,9.61,1.81,8.48,5.31,,5.02,2.44,3.55,1.24,22.77,15.42,3.26,7.25,88,,,Crotaphytus bicinto,Crotaphytus
Crotaphytus collaris auriceps_TMM_M-8396,Crotaphytidae,7.49,9.06,8.25,1.5,7.55,5.35,4.08,4.09,,2.15,,13.37,9.49,1.69,5.2,74,,,Crotaphytus collaris auriceps,Crotaphytus
Crotaphytus collaris_TMM_M-12338,Crotaphytidae,11.24,12.89,,1.36,8.34,4.91,,5.15,2.41,3.86,1.47,21.46,14.37,3.26,6.95,93,256,female,Crotaphytus collaris,Crotaphytus
Crotaphytus collaris_TMM_M-12468,Crotaphytidae,10.09,11.7,8.58,1.45,8.2,5.52,4.39,4.4,,3.2,1.35,17.39,10.92,2.51,6.31,,,,Crotaphytus collaris,Crotaphytus
Crotaphytus collaris_TMM_M-12803,Crotaphytidae,10.7,11.5,,1.41,8.27,5.69,,4.91,2.32,3.25,1.03,19.2,12.44,2.5,7.4,70,140,male,Crotaphytus collaris,Crotaphytus
Crotaphytus collaris_TMM_M-13062,Crotaphytidae,10.83,12.84,10.03,1.69,9.26,5.47,4.34,4.76,2,3.65,1.43,22.47,14.89,3.16,6.67,80,225,,Crotaphytus collaris,Crotaphytus
Crotaphytus collaris_TMM_M-13586,Crotaphytidae,9.98,10.1,,1.21,7.87,5.63,,4.22,2.12,2.94,0.92,18.23,12.3,2.09,5.82,76,216,female,Crotaphytus collaris,Crotaphytus
Crotaphytus collaris_TMM_M-8354,Crotaphytidae,9.58,10.55,,1.36,7.92,5.68,,4.37,2.33,3.06,0.99,17.22,12.31,2.66,6,69,,male,Crotaphytus collaris,Crotaphytus
Crotaphytus collaris_TMM_M-8395,Crotaphytidae,10.06,12.42,9.3,1.37,9.07,5.61,4.56,4.75,2.33,4.03,1.28,19.18,12.44,3.01,6.85,84,,female,Crotaphytus collaris,Crotaphytus
Crotaphytus collaris_TMM_M-8614,Crotaphytidae,12.39,13.3,,1.73,10.24,4.12,,5.36,2.32,4.42,1.4,24,15.59,3.27,7.62,87,,male,Crotaphytus collaris,Crotaphytus
Crotaphytus collaris_TMM_M-8615,Crotaphytidae,10.38,9.38,8.95,1.47,7.61,,,4.48,2.44,3.41,1.16,20.77,14.35,3,7,86,,female,Crotaphytus collaris,Crotaphytus
Crotaphytus collaris_TMM_M-9255,Crotaphytidae,11.23,11.97,9.49,1.43,8.71,,,4.87,2.27,3.27,1.34,20.72,14.89,3.49,7.11,90,,female,Crotaphytus collaris,Crotaphytus
Crotaphytus wislizenii_TMM_M-9342,Crotaphytidae,12.9,14.27,9.38,,,,,6.07,,4.68,1.9,24.81,14.68,3.82,,123,,,Gambelia wislizenii,Gambelia
Gambelia wislizenii_TMM_M-9344,Crotaphytidae,,9.93,,,,,,4.66,,,1.31,18.37,12.56,2.55,,,,,Gambelia wislizenii,Gambelia
Gambelia wislizenii_TMM_M-9974,Crotaphytidae,11.89,14.26,,1.8,9.12,4.95,,5.49,2.72,4.16,1.21,21.67,14.88,2.94,8.18,105,310,male,Gambelia wislizenii,Gambelia
Callisaurus draconoides_TxVP_M-9967,Phrynosomatidae,7.31,7.66,NA,1.38,NA,NA,NA,3.86,1.89,2.85,1.01,18.06,14.78,2.64,6.62,79,170,female,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_TxVP_M-9968,Phrynosomatidae,6.41,7.14,5.62,1.04,5.4,NA,NA,3.19,NA,NA,1,14.79,12.13,NA,4.87,67,106,female,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_TxVP_M-15659,Phrynosomatidae,4.23,5.14,NA,0.75,NA,NA,NA,2.56,1.55,1.53,0.53,10.11,8.22,1.59,3.07,49,NA,NA,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_TxVP_M-8647,Phrynosomatidae,4.83,5.51,NA,NA,NA,5.1,2.64,3.05,NA,1.45,NA,13.28,10.83,NA,5.03,59,NA,NA,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_TxVP_M-9133,Phrynosomatidae,NA,NA,NA,1.13,NA,5.11,3.46,3.4,2.16,2.53,1.35,15.89,13.11,2,5.76,74,163,female,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_TxVP_M-9134,Phrynosomatidae,5.23,6.05,NA,NA,NA,NA,NA,3.01,NA,1.89,NA,14.39,11.08,NA,4.81,59,NA,female,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_CJB_1413,Phrynosomatidae,5.8,6.32,6.36,0.97,5.8,5.01,3.11,3.02,NA,1.68,NA,15.53,NA,NA,5.08,65,156,NA,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_CJB_1414,Phrynosomatidae,4.27,5.02,5.18,0.77,4.94,NA,NA,2.43,NA,1.23,NA,10.81,NA,NA,3.58,49,NA,NA,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_TxVP_M-12105,Phrynosomatidae,4.58,5.01,NA,NA,NA,NA,NA,2.56,NA,1.29,NA,10.33,8.4,NA,3.91,49,NA,male,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_TxVP_M-14321,Phrynosomatidae,6.99,7.51,NA,NA,NA,NA,NA,NA,NA,2.55,1.37,NA,13.75,2.23,6.11,78,NA,male,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_TxVP_M-14320,Phrynosomatidae,NA,7.68,NA,1.25,6.88,5.47,3.49,3.9,2.42,2.5,1.41,18.99,15.5,2.29,6.5,84,NA,NA,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_TxVP_M-8649,Phrynosomatidae,6.33,7.06,6.34,1.09,5.86,4.85,3.17,NA,NA,2.2,1.47,17.62,13.51,NA,5.88,72,NA,male,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_TxVP_M-9131,Phrynosomatidae,6.3,7.32,6.6,1.19,6.64,5.31,2.94,3.64,2.29,2.27,1.42,18.29,15.32,2.2,6.84,77,NA,male,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_TxVP_M-9132,Phrynosomatidae,7.48,7.72,7.11,1.23,7.09,5.47,3.49,3.8,2.03,2.98,1.41,18.7,14.89,NA,NA,79,NA,NA,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_CJB_1402,Phrynosomatidae,5.98,6.52,6.15,1.07,6.29,5.2,3.19,3.26,NA,2.19,NA,16.12,13.42,NA,5.64,69,171,male,Callisaurus draconoides,Callisaurus
Cophosaurus texanus_TxVP_M-10747,Phrynosomatidae,6.46,7.39,NA,1.14,6.1,NA,NA,3.46,2.13,2.66,0.8,17.17,14.35,2.16,5.45,NA,NA,male,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-13780,Phrynosomatidae,6.22,6.85,NA,1.05,6.14,4.69,NA,2.95,2.02,2.18,1.01,14.79,12.27,1.71,5.02,60,130,male,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9221,Phrynosomatidae,6.35,7.04,6.34,1.07,5.8,4.89,2.71,3.17,2.14,2.22,1.26,14.72,12.52,1.94,5.25,68,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9216,Phrynosomatidae,NA,NA,4.06,0.87,3.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9220,Phrynosomatidae,6.82,7.41,6.74,1.44,6.62,5.32,3.09,3.29,2.22,2.6,1.46,16.71,13.87,2.07,5.68,72,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9219,Phrynosomatidae,5.98,6.51,5.78,1.04,5.49,4.75,2.92,2.93,2.15,1.98,1.26,14.2,11.83,1.81,5.4,62,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_CJB_1397,Phrynosomatidae,6.5,7.31,6.85,1.14,5.63,5.24,3,3.22,1.99,2.52,1.35,16.49,13.96,1.87,5.82,68,NA,male,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9224,Phrynosomatidae,4.34,5,4.84,0.71,4.9,4.38,2.53,2.12,NA,1.13,NA,9.26,7.38,NA,3.41,40,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9217,Phrynosomatidae,5.02,5.63,NA,NA,NA,4.76,2.77,2.47,NA,1.69,NA,11.35,NA,NA,4.26,52,100,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-8527,Phrynosomatidae,6.09,6.43,6.07,1.02,5.72,4.79,2.74,2.86,2.18,1.99,1.21,13.72,11.52,1.68,5.46,64,NA,female,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-8650,Phrynosomatidae,3.92,4.71,NA,NA,NA,4.25,2.4,2.08,NA,1.25,NA,8.79,7.16,NA,3.15,40,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_CJB_1387,Phrynosomatidae,4.61,4.87,4.88,0.73,4.61,4.15,2.3,2.25,NA,1.42,NA,9.62,7.9,NA,3.54,43,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9225,Phrynosomatidae,4.44,4.85,4.95,0.86,4.59,4.7,2.64,2.29,NA,1.54,NA,9.66,7.87,NA,3.7,42,NA,male,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_CJB_1386,Phrynosomatidae,4.72,5.25,5.23,0.9,5.04,4.45,2.77,2.61,NA,1.61,NA,10.77,8.86,NA,4.21,50,NA,male,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9222,Phrynosomatidae,7.13,7.66,6.67,1.24,6.51,NA,3.24,3.04,NA,2.43,1.4,NA,13.59,NA,NA,71,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9227,Phrynosomatidae,4.92,5.47,5.46,0.92,5.53,4.84,2.89,2.56,NA,1.57,NA,11.44,9.54,NA,4.2,51,NA,male,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-12104,Phrynosomatidae,6.35,6.94,6.2,1.07,6.12,4.98,2.91,3.01,1.96,2.5,1.34,15.18,12.16,1.84,5.43,67,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9215,Phrynosomatidae,6.09,6.64,6.14,1.08,5.91,NA,NA,2.96,NA,2.36,NA,NA,11.66,NA,5.27,63,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_CJB_1371,Phrynosomatidae,4.08,4.42,4.43,0.73,4.34,4.25,2.44,2,NA,1.16,NA,8.56,6.92,NA,3.25,40,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_CJB_1393,Phrynosomatidae,NA,NA,4.59,0.74,4.13,4.07,2.44,2.09,NA,1.28,NA,9.03,7.22,NA,3.27,42,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9218,Phrynosomatidae,6.01,6.74,5.88,1.07,5.99,4.89,2.93,2.67,1.96,2.17,1.14,13.19,10.87,1.65,5.26,61,NA,female,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_CJB_1390,Phrynosomatidae,4.55,5.08,4.82,0.85,4.93,NA,NA,2.37,NA,1.52,NA,10.06,8.5,NA,3.89,50,NA,male,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9226,Phrynosomatidae,5.96,6.34,5.81,1.12,5.32,4.93,3.13,2.7,1.86,1.76,1.11,12.66,10.67,1.71,4.88,60,NA,female,Cophosaurus texanus,Cophosaurus
